mouse_110_WT_C	mouse_110_WT_NC	mouse_148_WT_C	mouse_148_WT_NC	mouse_158_WT_C	mouse_158_WT_NC	mouse_183_KOMIR150_C	mouse_183_KOMIR150_NC	mouse_198_KOMIR150_C	mouse_198_KOMIR150_NC	mouse_206_KOMIR150_C	mouse_206_KOMIR150_NC	mouse_2670_KOTet3_C	mouse_2670_KOTet3_NC	mouse_7530_KOTet3_C	mouse_7530_KOTet3_NC	mouse_7531_KOTet3_C	mouse_7532_WT_NC	mouse_H510_WT_C	mouse_H510_WT_NC	mouse_H514_WT_C	mouse_H514_WT_NC
ENSMUSG00000079395.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041380.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113108	0	0	0	0	0	0.956983	0
ENSMUSG00000041700.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085139.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031285.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067276.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085584.3	0	0.137907	0	0.147637	0	0.450041	0	0.928077	0	0.128799	0	0.567684	0	0.908255	0	0	0	0	0	0.131184	0	0
ENSMUSG00000047045.17	90.6912	123.985	77.2126	117.589	94.318	128.475	101.979	132.282	94.5172	134.012	87.5053	131.386	86.8403	137.025	80.1268	127.357	86.9831	108.172	88.0775	98.6695	93.3161	123.172
ENSMUSG00000042271.13	11.5341	19.8866	12.1238	17.9846	10.1948	17.7028	15.0894	27.321	9.25462	13.5048	14.3841	15.6362	9.66228	14.4189	11.3443	15.5682	7.39225	11.7458	7.69664	17.2384	9.94222	13.3958
ENSMUSG00000042282.4	0.220217	0	0	0	0	0	0	0.092032	0	0	0	0	0	0.128575	0	0	0	0	0	0	0	0
