SampleAC1	SampleAC2	SampleAC3	SampleAC4	SampleAD1	SampleAD2	SampleAD3	SampleAD4	SampleBC1	SampleBC2	SampleBC3	SampleBC4	SampleBD1	SampleBD2	SampleBD3	SampleBD4
ENSG00000125676.20	46.9464	15.4006	20.9424	14.0461	20.7117	13.9065	29.0348	19.6343	12.3258	18.924	9.24682	19.2654	9.91322	14.753	25.4596	10.6972
ENSG00000125675.18	0	0	0	0	0	0	0	0	0	0	0	0.173584	0	0	0	0
ENSG00000182890.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228517.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224089.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171155.8	8.5263	6.39309	16.816	8.20794	18.3457	15.7936	22.3476	12.8579	7.91291	15.5568	7.28002	5.38475	5.10424	6.77398	10.987	6.86547
ENSG00000232119.8	8.061	7.24799	5.38308	3.77637	11.9936	8.72592	13.8996	11.93	2.42853	12.636	2.25545	3.52045	1.41627	4.0703	7.83213	2.23554
ENSG00000158290.18	23.5221	10.3928	15.3559	16.9163	40.0036	22.6826	30.0393	21.6645	14.8135	18.7802	15.6872	18.973	11.6315	10.5062	15.8416	10.9579
ENSG00000125355.15	0.481174	0	0.248402	0.547468	0.401059	0.299479	0.229679	0.761857	0	0	0.291495	0	0.817372	0	0.2669	0
ENSG00000177485.7	11.2927	5.46119	10.4471	8.17544	11.9913	8.30333	15.5698	6.63436	3.45614	5.80662	3.73418	5.3133	2.32538	4.80921	7.97799	2.51295
ENSG00000203989.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000101882.10	16.5815	11.458	17.8425	5.70165	15.5661	14.7729	15.2375	8.813	8.44134	14.304	5.10748	6.02391	6.58604	8.71156	6.98032	10.0046
ENSG00000186471.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198918.8	387.89	1079.18	1215.93	469.391	1334.3	1020.42	3256.65	888.824	345.332	1210.33	234.372	304.412	138.867	189.702	674.897	518.074
ENSG00000187808.5	10.0658	5.40736	10.4699	14.0585	19.0436	10.2589	17.0111	11.1174	9.1022	9.6612	7.19665	10.3749	9.32523	8.84034	14.6992	13.9366
ENSG00000186416.16	7.17751	4.80332	6.28247	4.13485	6.04681	5.5111	5.74873	5.56335	1.48115	1.82552	3.32164	3.94129	2.86539	2.93678	3.97719	0.917527
ENSG00000018610.15	14.9069	8.40116	16.1128	12.1954	17.8243	12.0863	14.7452	15.896	14.0839	12.0989	9.48176	7.63667	7.26552	10.0574	13.9278	6.0093
ENSG00000005022.6	139.559	67.9084	132.73	106.046	148.05	127.15	156.901	129.538	55.5686	88.8183	64.5102	68.012	67.0541	91.3573	115.535	61.8755
ENSG00000077713.19	7.82897	2.31347	3.20288	3.49955	6.72501	4.17712	7.20526	3.83739	2.29122	2.15049	2.70949	4.47868	2.84973	2.99732	4.03141	1.52091
ENSG00000277535.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175556.17	1.19442	0.565375	3.01422	0.439715	1.84466	0.48123	4.19122	5.82735	3.84221	3.44904	1.87098	0	1.31267	0.512575	2.64496	0.520347
ENSG00000147251.15	29.8132	20.2366	30.9016	15.5894	37.4237	25.4474	38.7677	25.3619	18.3556	25.0284	23.9896	23.9234	12.9453	20.4994	24.4379	13.4698
ENSG00000131725.14	7.01004	5.14093	8.27479	5.6116	9.27866	5.31987	7.22374	4.33742	2.69518	5.69652	3.58744	5.2696	5.95855	5.1068	5.52975	4.47174
ENSG00000003096.14	0	0.708554	0	0	0.277266	0	0	0	0.350861	0.120652	0.363016	0.400053	0	0.642706	0	0.326073
