SampleAC1	SampleAC2	SampleAC3	SampleAC4	SampleAD1	SampleAD2	SampleAD3	SampleAD4	SampleBC1	SampleBC2	SampleBC3	SampleBC4	SampleBD1	SampleBD2	SampleBD3	SampleBD4
ENSG00000232119.8	3.21019	0.860848	2.85646	1.86748	7.23916	3.178	9.97811	5.73097	0.744428	4.90968	0.544522	0.921916	0.243082	0.934762	2.1056	0.394824
ENSG00000158290.18	13.0265	1.9407	6.69914	3.84888	20.9344	8.9657	24.5057	10.0566	2.51915	7.21572	4.24239	4.67996	2.18763	2.47194	5.12934	2.33489
ENSG00000125355.15	0.352907	0	0.103998	0.240468	0.576085	0.105597	0.285525	0.396251	0	0	0.066281	0	0.143128	0	0.156638	0
ENSG00000177485.7	6.18613	1.09949	5.40092	1.917	7.08021	3.42106	10.6951	3.05178	0.730557	2.46748	0.84546	1.15441	0.380287	1.08377	2.41314	0.518722
ENSG00000203989.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000101882.10	10.0778	2.45864	8.96107	1.16921	9.08492	5.74479	9.21559	4.60783	1.80368	5.09356	0.889467	1.6163	1.06759	1.23774	1.82688	1.98963
ENSG00000186471.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198918.8	222.278	251.245	608.955	122.53	960.471	423.33	2904.3	422.702	77.3047	561.459	73.1466	89.629	25.5365	46.7234	244.964	105.211
ENSG00000187808.5	4.73594	0.990737	4.64987	3.33886	11.1052	5.26507	13.1309	4.93846	1.71915	4.68503	2.03084	2.67498	2.19346	2.00533	4.65362	3.11229
ENSG00000186416.16	4.01713	0.872949	2.93302	1.04404	3.34786	2.86559	3.87456	2.94849	0.416479	0.886753	0.870493	0.67926	0.543015	0.549536	1.37128	0.162732
ENSG00000018610.15	7.05366	1.66501	6.42139	3.37861	9.23969	4.71018	9.62811	6.1378	2.24004	4.93597	1.81534	2.04622	1.1582	1.74419	3.68643	1.11232
ENSG00000005022.6	80.1567	14.5371	60.7267	24.896	92.6574	53.2088	111.923	60.9113	11.7076	37.8304	16.3347	18.9368	13.2935	21.0445	34.4067	12.0117
ENSG00000077713.19	4.9288	0.481519	1.34451	0.699549	3.64136	1.47488	5.48266	1.72947	0.491892	0.589184	0.771267	1.44452	0.610714	0.669677	1.18494	0.216235
ENSG00000277535.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175556.17	0.934365	0.102826	1.44184	0.097012	0.959786	0.170555	3.28943	2.03024	0.641362	1.67725	0.534765	0	0.231008	0.155986	0.625895	0.138548
ENSG00000147251.15	16.9056	3.97612	13.7382	3.93125	21.3117	9.73096	26.6395	11.9269	4.3299	10.2108	5.81654	6.41086	2.57321	4.8913	7.63213	2.6533
ENSG00000131725.14	4.46327	1.04135	3.7361	1.1885	5.13358	2.30253	4.18413	1.89016	0.54056	2.24416	0.813354	1.69096	1.51144	1.10516	1.76141	1.1722
ENSG00000003096.14	0	0.129129	0	0	0.144676	0	0	0	0.131899	0.043807	0.082731	0.096845	0	0.195927	0	0.173951
ENSG00000268104.3	0.144593	0	0	0	0	0	0	0.182636	0	0	0	0	0	0	0	0
ENSG00000175718.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130224.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000126016.15	0.37385	0.082238	0.045901	0.023898	0.184171	0.251644	0.567312	0.118049	0	0	0	0.030837	0.056887	0.062349	0.031117	0.018478
ENSG00000182508.14	0	0	0	0	0	0	0	0	0	0.168373	0	0	0	0	0	0
ENSG00000072315.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000101901.12	6.58576	4.34509	9.31679	1.53136	5.96371	5.12283	20.6192	8.37283	2.55613	8.06778	1.34242	1.03782	2.80892	1.35168	5.38005	1.87469
ENSG00000077264.15	0.415714	0.03126	0.070258	0.078494	0.116617	0.74556	0.203177	0.145948	0.015764	0.149053	0	0.023119	0.085137	0.044806	0.09654	0.048715
ENSG00000101938.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157600.12	16.9748	1.99104	17.6168	4.32113	30.4577	11.4576	24.3977	7.93619	3.98173	17.0593	6.68609	6.13779	7.44864	13.8399	13.5304	3.53748
ENSG00000147246.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000068366.20	12.5389	2.96716	9.70972	2.28439	24.7077	6.91605	23.1247	12.416	3.79188	10.2766	7.37096	4.83597	2.25023	2.81493	7.04865	2.11181
ENSG00000101888.11	3.89061	1.17535	3.15053	1.03604	4.99708	2.15997	9.06811	2.72562	0.300177	2.01346	0.225915	0.528894	0.271037	0.41608	1.11066	0.369479
ENSG00000101890.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
